number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,0.25128912925720215,2024-09-27 22:05:15.591777,2024-09-27 22:10:30.853670,0 days 00:05:15.261893,leaky_relu,0.15000000000000002,3.095393977019318e-05,3.570899600815067e-05,binary_crossentropy,Unet_simple,0.0,adam,COMPLETE
1,12.81640911102295,2024-09-27 22:10:30.854279,2024-09-27 22:15:51.336083,0 days 00:05:20.481804,relu,0.4,0.004227602429868049,0.00016893547703970206,dice_loss,Unet_wide,0.0,sgd,COMPLETE
2,8.293659210205078,2024-09-27 22:15:51.337755,2024-09-27 22:21:12.081678,0 days 00:05:20.743923,leaky_relu,0.30000000000000004,0.005181262926206296,0.011755885762167238,dice_loss,Unet_wide,0.8,sgd,COMPLETE
3,17.8150577545166,2024-09-27 22:21:12.083606,2024-09-27 22:26:31.814326,0 days 00:05:19.730720,leaky_relu,0.1,0.026413867168195448,0.019420421401877396,binary_crossentropy,Unet_simple,0.2,sgd,COMPLETE
4,24.034208297729492,2024-09-27 22:26:31.816649,2024-09-27 22:32:53.590727,0 days 00:06:21.774078,relu,0.1,0.008196311235735373,0.0006973045316053489,dice_loss,Unet,0.7000000000000001,sgd,COMPLETE
5,0.923209547996521,2024-09-27 22:32:53.592722,2024-09-27 22:38:15.737450,0 days 00:05:22.144728,leaky_relu,0.30000000000000004,0.015005792798740883,0.004344937277839047,dice_loss,Unet_deep,0.5,adam,COMPLETE
6,0.16866520047187805,2024-09-27 22:38:15.738019,2024-09-27 22:43:26.284014,0 days 00:05:10.545995,leaky_relu,0.35,0.0016701890401154046,0.004164621490693728,binary_crossentropy,Unet_deeper,0.7000000000000001,rmsprop,COMPLETE
7,1.0672996044158936,2024-09-27 22:43:26.285956,2024-09-27 22:48:44.928275,0 days 00:05:18.642319,relu,0.15000000000000002,0.001215328577692126,0.00018506657210734873,dice_loss,Unet_deeper,0.4,adam,COMPLETE
8,0.9232048392295837,2024-09-27 22:48:44.930219,2024-09-27 22:54:05.417993,0 days 00:05:20.487774,leaky_relu,0.25,0.00011165851701213966,0.003348267520195118,dice_loss,Unet_wide,0.1,adam,COMPLETE
9,0.9231950044631958,2024-09-27 22:54:05.418555,2024-09-27 22:56:57.678995,0 days 00:02:52.260440,relu,0.35,0.0012791811953536663,0.029758109915247813,dice_loss,Unet_wide,0.4,adam,COMPLETE
10,1.5633422280590953e+27,2024-09-27 22:56:57.679556,2024-09-27 23:02:12.763569,0 days 00:05:15.084013,leaky_relu,0.4,0.0002248412756383585,0.09196949452332338,binary_crossentropy,Unet_deeper,0.9,rmsprop,COMPLETE
11,0.2374824732542038,2024-09-27 23:02:12.764104,2024-09-27 23:05:41.609032,0 days 00:03:28.844928,leaky_relu,0.2,1.2877499581401977e-05,1.1017362562586393e-05,binary_crossentropy,Unet_simple,0.6000000000000001,rmsprop,COMPLETE
12,0.26184794306755066,2024-09-27 23:05:41.609585,2024-09-27 23:10:57.311683,0 days 00:05:15.702098,leaky_relu,0.2,1.2470041253816966e-05,1.0372703167853703e-05,binary_crossentropy,Unet_deeper,0.6000000000000001,rmsprop,COMPLETE
13,0.7947419285774231,2024-09-27 23:10:57.312262,2024-09-27 23:16:17.188256,0 days 00:05:19.875994,leaky_relu,0.25,0.0977024743323155,0.0008791357359634011,binary_crossentropy,Unet_simple,0.7000000000000001,rmsprop,COMPLETE
14,0.9098472595214844,2024-09-27 23:16:17.188787,2024-09-27 23:21:37.992880,0 days 00:05:20.804093,leaky_relu,0.30000000000000004,0.0002954697953029632,9.610116765301888e-05,binary_crossentropy,Unet_deep,0.6000000000000001,rmsprop,COMPLETE
15,0.2112741619348526,2024-09-27 23:21:37.993419,2024-09-27 23:26:55.896935,0 days 00:05:17.903516,leaky_relu,0.2,8.741351122342462e-05,0.0025800531798476846,binary_crossentropy,Unet,0.9,rmsprop,COMPLETE
16,0.2308807522058487,2024-09-27 23:26:55.897481,2024-09-27 23:32:15.682092,0 days 00:05:19.784611,leaky_relu,0.35,9.675568418145238e-05,0.002490490501069468,binary_crossentropy,Unet,0.9,rmsprop,COMPLETE
17,0.4316082298755646,2024-09-27 23:32:15.683973,2024-09-27 23:37:28.735852,0 days 00:05:13.051879,leaky_relu,0.2,0.0005552646520130749,0.0004983800484699172,binary_crossentropy,Unet,0.8,rmsprop,COMPLETE
18,0.1747128814458847,2024-09-27 23:37:28.736393,2024-09-27 23:43:44.974058,0 days 00:06:16.237665,relu,0.25,4.981314870003353e-05,0.006207104549210699,binary_crossentropy,Unet_deeper,0.8,rmsprop,COMPLETE
19,0.16783341765403748,2024-09-27 23:43:44.975926,2024-09-27 23:47:23.027143,0 days 00:03:38.051217,relu,0.35,0.0022575325660441122,0.0085222730029414,binary_crossentropy,Unet_deeper,0.30000000000000004,rmsprop,COMPLETE
