number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,29.164222717285156,2024-09-28 12:25:54.465978,2024-09-28 12:32:40.466825,0 days 00:06:46.000847,relu,0.25,0.03883980949344345,6.519474304738665e-05,binary_crossentropy,Unet_simple,0.2,adam,COMPLETE
1,1.0726368427276611,2024-09-28 12:32:40.467448,2024-09-28 12:38:16.921580,0 days 00:05:36.454132,relu,0.35,5.029092527269987e-05,1.751315928298046e-05,dice_loss,Unet_simple,0.2,sgd,COMPLETE
2,1.9767236709594727,2024-09-28 12:38:16.922143,2024-09-28 12:44:04.342515,0 days 00:05:47.420372,leaky_relu,0.4,0.0003701816119109244,1.3669905246222852e-05,dice_loss,Unet,0.0,rmsprop,COMPLETE
3,0.19942601025104523,2024-09-28 12:44:04.343079,2024-09-28 12:49:31.315813,0 days 00:05:26.972734,relu,0.15000000000000002,2.8342131497627793e-05,0.003365012165734682,binary_crossentropy,Unet_deep,0.7000000000000001,rmsprop,COMPLETE
4,0.45138806104660034,2024-09-28 12:49:31.317832,2024-09-28 12:55:10.040514,0 days 00:05:38.722682,relu,0.2,0.0001064292183517827,4.187220477628632e-05,binary_crossentropy,Unet_deeper,0.30000000000000004,adam,COMPLETE
5,3.5119805335998535,2024-09-28 12:55:10.041329,2024-09-28 13:00:33.478484,0 days 00:05:23.437155,relu,0.2,0.028434951020315652,0.00020532361361166139,dice_loss,Unet_wide,0.9,adam,COMPLETE
6,3.7000789642333984,2024-09-28 13:00:33.478951,2024-09-28 13:05:54.644877,0 days 00:05:21.165926,leaky_relu,0.35,0.009106315041971918,0.0001069993990219547,binary_crossentropy,Unet_simple,0.2,adam,COMPLETE
7,0.3006493151187897,2024-09-28 13:05:54.645384,2024-09-28 13:09:21.675514,0 days 00:03:27.030130,relu,0.15000000000000002,2.2283742487537524e-05,1.2870201823987385e-05,binary_crossentropy,Unet_deeper,0.6000000000000001,rmsprop,COMPLETE
8,5.2592597007751465,2024-09-28 13:09:21.676050,2024-09-28 13:13:13.621148,0 days 00:03:51.945098,leaky_relu,0.4,0.001540754073145478,1.653346917961363e-05,dice_loss,Unet_wide,0.0,sgd,COMPLETE
9,0.4908744692802429,2024-09-28 13:13:13.621728,2024-09-28 13:15:45.749086,0 days 00:02:32.127358,leaky_relu,0.15000000000000002,0.0001105728979972259,0.0011899505048907852,binary_crossentropy,Unet_wide,0.2,sgd,COMPLETE
10,0.20653298497200012,2024-09-28 13:15:45.749629,2024-09-28 13:21:05.050611,0 days 00:05:19.300982,relu,0.1,1.49757425002642e-05,0.0214667071196492,binary_crossentropy,Unet_deep,0.7000000000000001,rmsprop,COMPLETE
11,0.2176218330860138,2024-09-28 13:21:05.051176,2024-09-28 13:26:25.778739,0 days 00:05:20.727563,relu,0.1,1.181292242578274e-05,0.02872772620587769,binary_crossentropy,Unet_deep,0.7000000000000001,rmsprop,COMPLETE
12,0.20435740053653717,2024-09-28 13:26:25.779299,2024-09-28 13:31:47.019019,0 days 00:05:21.239720,relu,0.1,1.0656501698554643e-05,0.018600435783514647,binary_crossentropy,Unet_deep,0.8,rmsprop,COMPLETE
13,0.16854695975780487,2024-09-28 13:31:47.019568,2024-09-28 13:36:44.775514,0 days 00:04:57.755946,relu,0.1,0.0006948923577577357,0.0049706049013672525,binary_crossentropy,Unet_deep,0.9,rmsprop,COMPLETE
14,0.16681380569934845,2024-09-28 13:36:44.776048,2024-09-28 13:42:05.815345,0 days 00:05:21.039297,relu,0.15000000000000002,0.0017075977151553444,0.0031518883662553007,binary_crossentropy,Unet_deep,0.5,rmsprop,COMPLETE
15,0.16810952126979828,2024-09-28 13:42:05.815874,2024-09-28 13:47:24.626839,0 days 00:05:18.810965,relu,0.2,0.0020012104264905844,0.004879227755681011,binary_crossentropy,Unet_deep,0.5,rmsprop,COMPLETE
16,0.22897954285144806,2024-09-28 13:47:24.627441,2024-09-28 13:52:42.621800,0 days 00:05:17.994359,relu,0.25,0.0032823767635868973,0.0005315278371162715,binary_crossentropy,Unet,0.5,rmsprop,COMPLETE
17,0.1679302304983139,2024-09-28 13:52:42.622333,2024-09-28 13:58:03.826747,0 days 00:05:21.204414,relu,0.2,0.006908814398236194,0.09990645108993895,binary_crossentropy,Unet_deep,0.4,rmsprop,COMPLETE
18,0.9231959581375122,2024-09-28 13:58:03.827302,2024-09-28 14:03:22.745475,0 days 00:05:18.918173,leaky_relu,0.25,0.0076111844842369795,0.058518084408678395,dice_loss,Unet_deep,0.4,rmsprop,COMPLETE
19,0.16876919567584991,2024-09-28 14:03:22.746007,2024-09-28 14:08:42.444149,0 days 00:05:19.698142,relu,0.30000000000000004,0.09194601587265816,0.08018351917031731,binary_crossentropy,Unet_deep,0.4,sgd,COMPLETE
