number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,7.918399333953857,2024-09-28 21:30:18.373298,2024-09-28 21:34:05.886854,0 days 00:03:47.513556,relu,0.30000000000000004,0.007810257953465433,0.08875416711887454,dice_loss,Unet_deep,0.8,rmsprop,COMPLETE
1,9.1370849609375,2024-09-28 21:34:05.887458,2024-09-28 21:40:46.350504,0 days 00:06:40.463046,relu,0.4,0.005026629629932021,3.389146074529193e-05,dice_loss,Unet_deeper,0.30000000000000004,rmsprop,COMPLETE
2,1.086084008216858,2024-09-28 21:40:46.352537,2024-09-28 21:46:18.770299,0 days 00:05:32.417762,relu,0.4,0.001122992891244829,0.00512575576449762,binary_crossentropy,Unet_simple,0.8,adam,COMPLETE
3,15.283388137817383,2024-09-28 21:46:18.770831,2024-09-28 21:51:46.945427,0 days 00:05:28.174596,leaky_relu,0.2,0.009543371032535787,2.936375088851854e-05,dice_loss,Unet_deep,0.0,adam,COMPLETE
4,60.638607025146484,2024-09-28 21:51:46.945990,2024-09-28 21:57:10.988316,0 days 00:05:24.042326,relu,0.1,0.03033441902440846,1.8381080796722735e-05,dice_loss,Unet,0.2,rmsprop,COMPLETE
5,0.9864203929901123,2024-09-28 21:57:10.990725,2024-09-28 22:02:32.972135,0 days 00:05:21.981410,relu,0.1,0.05562957156733023,0.056457859372261374,dice_loss,Unet_simple,0.1,sgd,COMPLETE
6,1.6288670301437378,2024-09-28 22:02:32.974103,2024-09-28 22:07:51.167480,0 days 00:05:18.193377,relu,0.35,0.00024488255481067253,1.377208921012333e-05,dice_loss,Unet,0.4,rmsprop,COMPLETE
7,1.7980316877365112,2024-09-28 22:07:51.168046,2024-09-28 22:13:11.374136,0 days 00:05:20.206090,relu,0.25,0.007014065665903211,0.00014967317138678192,dice_loss,Unet_wide,0.9,rmsprop,COMPLETE
8,1.8672770261764526,2024-09-28 22:13:11.374716,2024-09-28 22:18:32.327903,0 days 00:05:20.953187,leaky_relu,0.35,0.00034907111511172766,1.682430471808451e-05,dice_loss,Unet_deep,0.5,rmsprop,COMPLETE
9,15.521769523620605,2024-09-28 22:18:32.328476,2024-09-28 22:23:51.540555,0 days 00:05:19.212079,relu,0.15000000000000002,0.005470800760974648,0.00010835786639927125,binary_crossentropy,Unet_deep,0.8,sgd,COMPLETE
10,0.23388507962226868,2024-09-28 22:23:51.541116,2024-09-28 22:27:18.117028,0 days 00:03:26.575912,leaky_relu,0.1,2.3047452248900138e-05,0.0915626899936354,binary_crossentropy,Unet_simple,0.0,sgd,COMPLETE
11,0.20230905711650848,2024-09-28 22:27:18.117601,2024-09-28 22:31:19.258246,0 days 00:04:01.140645,leaky_relu,0.1,1.0400118053601002e-05,0.07289810092336739,binary_crossentropy,Unet_simple,0.0,sgd,COMPLETE
12,0.2139233946800232,2024-09-28 22:31:19.258826,2024-09-28 22:35:46.747813,0 days 00:04:27.488987,leaky_relu,0.15000000000000002,1.3229480833754106e-05,0.007964074789928327,binary_crossentropy,Unet_simple,0.0,sgd,COMPLETE
13,0.20953810214996338,2024-09-28 22:35:46.748378,2024-09-28 22:37:57.576325,0 days 00:02:10.827947,leaky_relu,0.2,1.0686115359393896e-05,0.011025064398376692,binary_crossentropy,Unet_simple,0.2,sgd,COMPLETE
14,0.304655522108078,2024-09-28 22:37:57.576892,2024-09-28 22:40:09.415487,0 days 00:02:11.838595,leaky_relu,0.2,4.307319688280594e-05,0.01342118206222576,binary_crossentropy,Unet_simple,0.2,sgd,COMPLETE
15,0.4020589292049408,2024-09-28 22:40:09.416063,2024-09-28 22:42:51.224277,0 days 00:02:41.808214,leaky_relu,0.2,6.982559888301938e-05,0.0018276397464711326,binary_crossentropy,Unet_deeper,0.5,sgd,COMPLETE
16,0.5110796689987183,2024-09-28 22:42:51.224855,2024-09-28 22:45:07.778821,0 days 00:02:16.553966,leaky_relu,0.15000000000000002,0.00011769420356692483,0.02814888432733054,binary_crossentropy,Unet_wide,0.2,sgd,COMPLETE
17,0.21044214069843292,2024-09-28 22:45:07.779356,2024-09-28 22:50:26.026183,0 days 00:05:18.246827,leaky_relu,0.25,1.0127823001294208e-05,0.0018510497661119662,binary_crossentropy,Unet_simple,0.4,sgd,COMPLETE
18,120598277652480.0,2024-09-28 22:50:26.028124,2024-09-28 22:52:27.239129,0 days 00:02:01.211005,leaky_relu,0.15000000000000002,3.276029490633135e-05,0.024853964928172982,binary_crossentropy,Unet_simple,0.1,adam,COMPLETE
19,3.749748706817627,2024-09-28 22:52:27.241673,2024-09-28 22:57:47.853711,0 days 00:05:20.612038,leaky_relu,0.30000000000000004,0.001264067200281582,0.00046654929979723496,binary_crossentropy,Unet_simple,0.30000000000000004,sgd,COMPLETE
