number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,1.366395354270935,2024-09-27 10:33:45.338626,2024-09-27 10:39:08.234586,0 days 00:05:22.895960,leaky_relu,0.25,0.00047105960585539425,0.00856006299066585,binary_crossentropy,Unet_deep,0.1,sgd,COMPLETE
1,1.6890382766723633,2024-09-27 10:39:08.235199,2024-09-27 10:44:03.463193,0 days 00:04:55.227994,leaky_relu,0.15000000000000002,0.0006265173010833398,0.012768237707080392,binary_crossentropy,Unet_deeper,0.8,sgd,COMPLETE
2,1.5512784719467163,2024-09-27 10:44:03.463867,2024-09-27 10:48:48.898830,0 days 00:04:45.434963,leaky_relu,0.2,0.0016093487369287052,0.00012162357284373693,dice_loss,Unet_deep,0.6000000000000001,rmsprop,COMPLETE
3,0.05189868435263634,2024-09-27 10:48:48.901346,2024-09-27 10:53:25.988354,0 days 00:04:37.087008,leaky_relu,0.2,2.268378857824337e-05,0.0017591842624126864,binary_crossentropy,Unet_deeper,0.30000000000000004,rmsprop,COMPLETE
4,2.8268656730651855,2024-09-27 10:53:25.989203,2024-09-27 10:58:20.683643,0 days 00:04:54.694440,relu,0.1,0.0008017163828765659,6.260668369644637e-05,binary_crossentropy,Unet,0.9,sgd,COMPLETE
5,164.53228759765625,2024-09-27 10:58:20.684209,2024-09-27 11:03:06.080234,0 days 00:04:45.396025,leaky_relu,0.4,0.07515842938910737,0.0012071681316694967,binary_crossentropy,Unet_simple,0.2,sgd,COMPLETE
6,0.024717947468161583,2024-09-27 11:03:06.080802,2024-09-27 11:08:15.068194,0 days 00:05:08.987392,relu,0.1,1.6611585587844177e-05,0.0005291614005590833,binary_crossentropy,Unet_simple,0.5,adam,COMPLETE
7,10.844924926757812,2024-09-27 11:08:15.068760,2024-09-27 11:10:15.022935,0 days 00:01:59.954175,leaky_relu,0.2,4.5695485424486335e-05,0.006123442840084478,binary_crossentropy,Unet_wide,0.0,rmsprop,COMPLETE
8,0.23509378731250763,2024-09-27 11:10:15.024969,2024-09-27 11:15:04.883427,0 days 00:04:49.858458,leaky_relu,0.30000000000000004,1.2000422040667449e-05,1.6529100740912825e-05,dice_loss,Unet_simple,0.9,adam,COMPLETE
9,12.06003189086914,2024-09-27 11:15:04.883997,2024-09-27 11:19:54.077095,0 days 00:04:49.193098,leaky_relu,0.35,0.005434637021651616,1.4955218536088643e-05,binary_crossentropy,Unet_simple,0.6000000000000001,rmsprop,COMPLETE
10,0.15205395221710205,2024-09-27 11:19:54.079540,2024-09-27 11:24:36.753225,0 days 00:04:42.673685,relu,0.1,0.00012995581204375002,0.0002361814826882182,dice_loss,Unet,0.5,adam,COMPLETE
11,1.126880407333374,2024-09-27 11:24:36.755673,2024-09-27 11:29:16.961788,0 days 00:04:40.206115,relu,0.15000000000000002,1.0620483489616443e-05,0.07688944328011807,binary_crossentropy,Unet_deeper,0.30000000000000004,adam,COMPLETE
12,0.12181438505649567,2024-09-27 11:29:16.962365,2024-09-27 11:33:51.164992,0 days 00:04:34.202627,relu,0.2,5.7190237131290874e-05,0.0008341504945295042,binary_crossentropy,Unet_deeper,0.4,rmsprop,COMPLETE
13,0.03590327501296997,2024-09-27 11:33:51.165571,2024-09-27 11:38:38.755163,0 days 00:04:47.589592,relu,0.1,0.00010163079037150392,0.0015844009679590754,binary_crossentropy,Unet_wide,0.30000000000000004,adam,COMPLETE
14,0.1787962168455124,2024-09-27 11:38:38.755736,2024-09-27 11:43:28.876311,0 days 00:04:50.120575,relu,0.1,0.0002476150742060792,0.00041623438565303465,dice_loss,Unet_wide,0.7000000000000001,adam,COMPLETE
15,0.032753657549619675,2024-09-27 11:43:28.876879,2024-09-27 11:48:15.166420,0 days 00:04:46.289541,relu,0.15000000000000002,8.473221273434928e-05,0.0026580010700971895,binary_crossentropy,Unet_wide,0.4,adam,COMPLETE
16,106.50218963623047,2024-09-27 11:48:15.167001,2024-09-27 11:53:01.054422,0 days 00:04:45.887421,relu,0.15000000000000002,0.004293451348378909,0.02836776240518727,binary_crossentropy,Unet_wide,0.5,adam,COMPLETE
17,0.08072813600301743,2024-09-27 11:53:01.054991,2024-09-27 11:57:52.590756,0 days 00:04:51.535765,relu,0.25,2.966212454430007e-05,0.004437587678256194,binary_crossentropy,Unet_simple,0.4,adam,COMPLETE
18,0.13180913031101227,2024-09-27 11:57:52.591355,2024-09-27 12:02:46.978075,0 days 00:04:54.386720,relu,0.15000000000000002,0.00017575687029584407,0.00038270057901706805,dice_loss,Unet_wide,0.6000000000000001,adam,COMPLETE
19,0.07768265157938004,2024-09-27 12:02:46.978653,2024-09-27 12:07:34.236308,0 days 00:04:47.257655,relu,0.30000000000000004,0.04820438955684844,0.003069739960018563,binary_crossentropy,Unet_simple,0.2,adam,COMPLETE
