trial_number,model_name,optimizer_name,learning_rate,dropout_rate,l2_lambda,activation_function,loss_function,momentum,best_val_loss
0,Unet_deeper,adam,0.0147673944902933,0.1,0.000677241368494469,leaky_relu,dice_loss,0.6,0.923174679279327
1,Unet,sgd,0.00212812992779801,0.35,0.000168012036491597,relu,binary_crossentropy,0.2,0.702760636806488
2,Unet_wide,adam,0.0092934456284662,0.2,0.00132012529876889,leaky_relu,binary_crossentropy,0.2,86153404416
3,Unet_wide,adam,2.27472477002842E-05,0.3,0.0394418259363813,leaky_relu,dice_loss,0.6,164.593200683594
4,Unet_wide,sgd,0.00128039158631213,0.4,0.000218098827631899,leaky_relu,binary_crossentropy,0.4,1.494988322258
5,Unet_shallow,sgd,2.34033727200183E-05,0.4,0.0476183899323134,leaky_relu,binary_crossentropy,0,71.2352752685547
6,Unet_deeper,rmsprop,0.0393697600911212,0.15,4.70242499247003E-05,relu,dice_loss,0.6,0.923337340354919
0,Unet_shallow,rmsprop,0.0496854527153836,0.3,0.000167106882019012,leaky_relu,binary_crossentropy,0.4,2012075392
7,Unet_wide,sgd,0.000252577427813688,0.3,0.00816247709536314,leaky_relu,dice_loss,0.3,48.7840118408203
8,Unet,sgd,0.0189148117211332,0.4,0.000173038328019309,leaky_relu,binary_crossentropy,0.3,0.708759903907776
9,Unet_simple,adam,0.011925151634476,0.3,0.0425192921591966,leaky_relu,dice_loss,0.4,0.923167169094086
10,Unet,rmsprop,0.000993834318100029,0.25,1.31399244643625E-05,relu,binary_crossentropy,0.9,0.197878941893578
0,Unet,rmsprop,0.000427457577865767,0.2,5.38126573283735E-05,relu,binary_crossentropy,0.6,0.308393806219101
1,Unet_simple,rmsprop,0.000146549528728922,0.2,0.0301628850103463,leaky_relu,binary_crossentropy,0.4,13.6701021194458
2,Unet,sgd,0.0549371384264581,0.15,0.0367524977774796,relu,binary_crossentropy,0.7,0.205968901515007
3,Unet,sgd,0.000186489782982287,0.1,0.00095370454042047,leaky_relu,binary_crossentropy,0.1,3.23623847961426
4,Unet_simple,rmsprop,6.44708700801077E-05,0.2,1.07844198012902E-05,leaky_relu,dice_loss,0.7,0.953360974788666
5,Unet_shallow,adam,0.0799429539248635,0.15,0.0174073433615698,relu,dice_loss,0.6,0.923165559768677
6,Unet_wide,sgd,0.0101654595165069,0.2,0.000334442903734485,leaky_relu,binary_crossentropy,0.2,2.14418888092041
7,Unet_simple,adam,0.000344073657245013,0.35,0.00194086517621741,relu,binary_crossentropy,0.5,0.920503795146942
8,Unet_simple,rmsprop,1.59215935587539E-05,0.15,0.00615471624599131,leaky_relu,binary_crossentropy,0.6,15.2050857543945
9,Unet_simple,adam,8.91461327852654E-05,0.15,0.000312065723404309,relu,dice_loss,0.3,1.25256884098053
10,Unet_deeper,sgd,0.00337078097570979,0.35,0.0673054914608412,relu,dice_loss,0.9,13.6442098617554
11,Unet,rmsprop,0.00170373297461639,0.3,2.29116493125015E-05,relu,binary_crossentropy,0.8,0.221331879496574
12,Unet,sgd,0.0888302968922714,0.3,3.54155740732297E-05,relu,binary_crossentropy,0.9,0.268423140048981
13,Unet,rmsprop,0.0102933221056534,0.4,0.00560584165216969,relu,binary_crossentropy,0.8,0.168510407209396
14,Unet,sgd,0.0178177217062767,0.4,0.0072672911056607,relu,binary_crossentropy,0.8,10.160252571106
15,Unet_deeper,rmsprop,0.0164415223785227,0.4,0.0658517725301301,relu,binary_crossentropy,0.7,0.16792730987072
