number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,40.20997619628906,2024-08-28 19:53:32.423318,2024-08-28 20:07:11.303593,0 days 00:13:38.880275,relu,0.30000000000000004,0.05082065961266047,0.00012041865998992668,binary_crossentropy,Unet_simple,0.6000000000000001,adam,COMPLETE
1,0.9624226689338684,2024-08-28 20:07:11.304215,2024-08-28 20:16:29.191856,0 days 00:09:17.887641,leaky_relu,0.35,0.0014522496695453305,0.0010161742087342741,dice_loss,Unet,0.1,rmsprop,COMPLETE
2,1.3416069746017456,2024-08-28 20:16:29.192421,2024-08-28 20:25:32.930110,0 days 00:09:03.737689,relu,0.25,7.077640832493872e-05,0.0065304168961291065,dice_loss,Unet_wide,0.4,sgd,COMPLETE
3,67.44158935546875,2024-08-28 20:25:32.932404,2024-08-28 20:31:32.518214,0 days 00:05:59.585810,relu,0.30000000000000004,0.023482932663588803,0.0007218738073913536,binary_crossentropy,Unet_deeper,0.30000000000000004,sgd,COMPLETE
4,0.96477872133255,2024-08-28 20:31:32.518783,2024-08-28 20:35:41.195530,0 days 00:04:08.676747,leaky_relu,0.1,0.00012647421601110723,0.0019395799598726914,dice_loss,Unet_deeper,0.9,rmsprop,COMPLETE
5,0.9731825590133667,2024-08-28 20:35:41.197805,2024-08-28 20:44:22.404979,0 days 00:08:41.207174,leaky_relu,0.2,0.003298458769012752,0.0008181342833003039,dice_loss,Unet_deeper,0.30000000000000004,rmsprop,COMPLETE
6,6.059256553649902,2024-08-28 20:44:22.405554,2024-08-28 20:54:08.917452,0 days 00:09:46.511898,leaky_relu,0.25,0.0010883771902749572,2.4919768698047686e-05,binary_crossentropy,Unet_wide,0.2,rmsprop,COMPLETE
7,1.3168007135391235,2024-08-28 20:54:08.918039,2024-08-28 20:59:34.916060,0 days 00:05:25.998021,leaky_relu,0.30000000000000004,0.00025460944749634704,0.0006415713836959867,dice_loss,Unet,0.5,rmsprop,COMPLETE
8,84.77424621582031,2024-08-28 20:59:34.918510,2024-08-28 21:04:21.358495,0 days 00:04:46.439985,leaky_relu,0.2,0.014249780998267906,1.3396710593362359e-05,dice_loss,Unet_wide,0.1,sgd,COMPLETE
9,0.9270427823066711,2024-08-28 21:04:21.359009,2024-08-28 21:16:03.095166,0 days 00:11:41.736157,leaky_relu,0.1,0.006663968161824495,0.004026050781141045,dice_loss,Unet_simple,0.8,adam,COMPLETE
