number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,1.0994547605514526,2024-08-28 22:20:17.887545,2024-08-28 22:23:13.388629,0 days 00:02:55.501084,leaky_relu,0.15000000000000002,0.0001571901355547384,0.0005537925280221649,dice_loss,Unet_shallow,0.7000000000000001,rmsprop,COMPLETE
1,3.6865904331207275,2024-08-28 22:23:13.390551,2024-08-28 22:37:08.372368,0 days 00:13:54.981817,relu,0.1,0.013257285136720696,0.00023882082303976,binary_crossentropy,Unet_simple,0.6000000000000001,adam,COMPLETE
2,0.16965539753437042,2024-08-28 22:37:08.374419,2024-08-28 22:40:20.034168,0 days 00:03:11.659749,leaky_relu,0.25,0.021822768163213054,0.004731749960417933,binary_crossentropy,Unet_shallow,0.8,rmsprop,COMPLETE
3,123.32630920410156,2024-08-28 22:40:20.034721,2024-08-28 22:49:24.029583,0 days 00:09:03.994862,leaky_relu,0.25,0.07330517041755813,5.205382673842199e-05,binary_crossentropy,Unet_deeper,0.8,adam,COMPLETE
4,0.9386067986488342,2024-08-28 22:49:24.030090,2024-08-28 22:57:48.935866,0 days 00:08:24.905776,relu,0.15000000000000002,0.0017085888802650193,0.0013057138283149193,dice_loss,Unet,0.0,rmsprop,COMPLETE
5,0.16923218965530396,2024-08-28 22:57:48.936379,2024-08-28 23:01:18.042360,0 days 00:03:29.105981,leaky_relu,0.2,0.013659069352888194,0.005831826084430673,binary_crossentropy,Unet_deeper,0.6000000000000001,rmsprop,COMPLETE
6,1.0443878173828125,2024-08-28 23:01:18.042894,2024-08-28 23:07:56.465178,0 days 00:06:38.422284,relu,0.15000000000000002,0.0012892472930091294,0.00040903471383221785,dice_loss,Unet_shallow,0.4,adam,COMPLETE
7,0.8474738597869873,2024-08-28 23:07:56.465706,2024-08-28 23:09:49.088026,0 days 00:01:52.622320,leaky_relu,0.2,2.404714403622721e-05,0.0015207348298026157,dice_loss,Unet_shallow,0.0,adam,COMPLETE
8,1.1526248455047607,2024-08-28 23:09:49.088608,2024-08-28 23:14:01.315104,0 days 00:04:12.226496,leaky_relu,0.15000000000000002,0.00013870377577096665,0.00037996535303544404,dice_loss,Unet_simple,0.7000000000000001,rmsprop,COMPLETE
9,0.4195401072502136,2024-08-28 23:14:01.315597,2024-08-28 23:15:43.337745,0 days 00:01:42.022148,relu,0.2,8.091534463055994e-05,0.007622635997754039,binary_crossentropy,Unet_deeper,0.9,sgd,COMPLETE
