number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_momentum,params_optimizer,state
0,4.114585876464844,2024-08-28 23:27:11.696661,2024-08-28 23:35:24.692357,0 days 00:08:12.995696,relu,0.2,0.0015405442463496406,1.7516794304866706e-05,binary_crossentropy,Unet_deeper,0.1,adam,COMPLETE
1,1.087632179260254,2024-08-28 23:35:24.692975,2024-08-28 23:42:38.604687,0 days 00:07:13.911712,relu,0.35,8.977759956997513e-05,4.7002209533493165e-05,dice_loss,Unet,0.1,adam,COMPLETE
2,10.335583686828613,2024-08-28 23:42:38.605276,2024-08-28 23:50:15.869492,0 days 00:07:37.264216,relu,0.25,0.003341185354355468,0.0003912574757594928,dice_loss,Unet_simple,0.4,sgd,COMPLETE
3,3.0800821781158447,2024-08-28 23:50:15.870076,2024-08-29 00:01:09.285253,0 days 00:10:53.415177,leaky_relu,0.30000000000000004,0.0005443696416961683,0.04548773221997368,binary_crossentropy,Unet_wide,0.7000000000000001,sgd,COMPLETE
4,0.16783082485198975,2024-08-29 00:01:09.285831,2024-08-29 00:03:46.474282,0 days 00:02:37.188451,relu,0.30000000000000004,0.007070707636485966,0.010835580265467291,binary_crossentropy,Unet,0.5,rmsprop,COMPLETE
5,36.739906311035156,2024-08-29 00:03:46.474951,2024-08-29 00:15:02.461252,0 days 00:11:15.986301,relu,0.35,0.010840464708193073,3.991339791494334e-05,dice_loss,Unet_wide,0.5,rmsprop,COMPLETE
6,37.192466735839844,2024-08-29 00:15:02.461804,2024-08-29 00:26:25.050268,0 days 00:11:22.588464,relu,0.25,0.031245059521150132,8.060475444167117e-05,dice_loss,Unet_simple,0.6000000000000001,adam,COMPLETE
7,1.827737808227539,2024-08-29 00:26:25.050754,2024-08-29 00:32:21.421586,0 days 00:05:56.370832,leaky_relu,0.30000000000000004,0.0010645396185476436,0.0002759348685560817,binary_crossentropy,Unet_shallow,0.2,sgd,COMPLETE
8,1.3681501150131226,2024-08-29 00:32:21.422087,2024-08-29 00:36:58.619158,0 days 00:04:37.197071,relu,0.35,0.00023218111086799326,0.0011685381367662027,dice_loss,Unet_wide,0.6000000000000001,rmsprop,COMPLETE
9,0.1707180142402649,2024-08-29 00:36:58.619658,2024-08-29 00:40:05.574181,0 days 00:03:06.954523,leaky_relu,0.2,0.0030898689699164557,0.004341230279418,binary_crossentropy,Unet_shallow,0.30000000000000004,rmsprop,COMPLETE
