trial_number,model_name,optimizer_name,learning_rate,dropout_rate,l2_lambda,activation_function,loss_function,momentum,best_val_loss
0,Unet_deeper,rmsprop,0.0021033331444821,0.15,0.000117601559457191,leaky_relu,dice_loss,0.9,0.935779392719269
1,Unet_deeper,rmsprop,4.14007523365034E-05,0.35,8.40065360613682E-05,relu,binary_crossentropy,0.8,0.439115971326828
2,Unet_simple,sgd,1.94629106303576E-05,0.15,0.000402505332711908,relu,dice_loss,0.4,2.05995273590088
3,Unet_wide,sgd,2.12235391064668E-05,0.35,0.0312930274705078,leaky_relu,binary_crossentropy,0,184.716522216797
4,Unet_simple,sgd,0.0032305747023821,0.4,0.000100433277841951,leaky_relu,binary_crossentropy,0.2,0.474569797515869
5,Unet_wide,adam,0.00240131976994998,0.2,0.00292126327880715,relu,binary_crossentropy,0.8,0.259048759937286
6,Unet_simple,sgd,3.06753968929213E-05,0.15,0.000555954418577876,leaky_relu,dice_loss,0.3,2.49065065383911
7,Unet,rmsprop,0.0376292514302916,0.4,0.0105720006255282,relu,binary_crossentropy,0.7,1.22208225727081
8,Unet,rmsprop,7.34888307254793E-05,0.15,0.0258255718912121,relu,binary_crossentropy,0.9,32.3636856079102
9,Unet_deeper,adam,1.41675747843144E-05,0.15,0.0300156892559077,leaky_relu,dice_loss,0.9,76.4711761474609
10,Unet_wide,adam,0.000280336178652097,0.25,0.00307296512493417,relu,binary_crossentropy,0.6,0.926134347915649
11,Unet_shallow,adam,0.00870427505250253,0.25,2.07413988361825E-05,relu,binary_crossentropy,0.7,0.168950632214546
12,Unet_shallow,adam,0.0137572355256815,0.25,1.3046574087621E-05,relu,binary_crossentropy,0.6,0.197586223483086
13,Unet_shallow,adam,0.0247829502275888,0.25,1.27922716471611E-05,relu,binary_crossentropy,0.6,0.236820265650749
14,Unet_shallow,adam,0.0116164527180759,0.3,1.06410096346594E-05,relu,binary_crossentropy,0.5,0.172507092356682
15,Unet_shallow,adam,0.0819704105550458,0.3,3.10337845036215E-05,relu,binary_crossentropy,0.5,0.770370543003082
