number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_l2_lambda,params_learning_rate,params_loss_function,params_model,params_optimizer,state
0,0.9522110819816589,2024-08-27 00:33:43.248358,2024-08-27 00:36:08.684146,0 days 00:02:25.435788,leaky_relu,0.21260766979126305,6.026252169297011e-05,0.05560475848223719,dice_loss,Unet,adam,COMPLETE
1,0.7271076440811157,2024-08-27 00:36:08.684750,2024-08-27 00:51:52.742501,0 days 00:15:44.057751,leaky_relu,0.22874315878583357,0.001542508799825493,0.07512172065720614,binary_crossentropy,Unet,sgd,COMPLETE
2,0.17143674194812775,2024-08-27 00:51:52.743063,2024-08-27 00:55:49.762963,0 days 00:03:57.019900,leaky_relu,0.2139766990596296,1.8501962434967823e-05,0.00040527507894853583,binary_crossentropy,Unet,adam,COMPLETE
3,0.9232262969017029,2024-08-27 00:55:49.763521,2024-08-27 01:01:36.271748,0 days 00:05:46.508227,leaky_relu,0.24444786350087336,0.031836351198971366,0.0018082244572593029,dice_loss,Unet_deeper2,adam,COMPLETE
4,1.0389703171481705e+25,2024-08-27 01:01:36.272309,2024-08-27 01:28:00.956724,0 days 00:26:24.684415,leaky_relu,0.2363798172816935,0.0002801721059613586,0.04922867228934989,binary_crossentropy,Unet_wide,rmsprop,COMPLETE
5,1.377562403678894,2024-08-27 01:28:00.957265,2024-08-27 01:44:26.925909,0 days 00:16:25.968644,relu,0.1890120149092694,0.0001987757296890673,0.06943353582262594,dice_loss,Unet,sgd,COMPLETE
6,1.2726614475250244,2024-08-27 01:44:26.926467,2024-08-27 02:01:35.533064,0 days 00:17:08.606597,leaky_relu,0.1481571246427103,0.00012668543467854508,0.024028182437210537,dice_loss,Unet,sgd,COMPLETE
7,0.2222001701593399,2024-08-27 02:01:35.535189,2024-08-27 02:19:15.589683,0 days 00:17:40.054494,leaky_relu,0.2110174165384892,0.011079042783309455,0.00010214028205972349,binary_crossentropy,Unet_deeper2,rmsprop,COMPLETE
8,0.16859710216522217,2024-08-27 02:19:15.590261,2024-08-27 02:28:47.020309,0 days 00:09:31.430048,leaky_relu,0.15129465569843553,0.012956225180729902,0.07120967915249027,binary_crossentropy,Unet_shallow,sgd,COMPLETE
9,,2024-08-27 02:28:47.020861,2024-08-27 02:30:40.429402,0 days 00:01:53.408541,leaky_relu,0.24262187765753235,0.00025882818101546456,0.026680465793078624,binary_crossentropy,Unet_wide,adam,FAIL
