trial_number,model_name,optimizer_name,learning_rate,dropout_rate,l2_lambda,activation_function,loss_function,momentum,best_val_loss
1,Unet_deep,sgd,0.00856,0.25,0.00047,leaky_relu,binary_crossentropy,0.1,1.3581438064575195
2,Unet_deeper,sgd,0.01277,0.15,0.00063,leaky_relu,binary_crossentropy,0.8,1.701740026473999
3,Unet_simple,adam,2e-05,0.3,1e-05,leaky_relu,dice_loss,0.9,0.14285774528980255
4,Unet_simple,rmsprop,1e-05,0.35,0.00543,leaky_relu,binary_crossentropy,0.6,13.0831937789917
5,Unet_wide,adam,0.00042,0.1,0.00025,relu,dice_loss,0.7,0.17618012428283691
6,Unet,sgd,0.00784,0.4,2e-05,relu,dice_loss,0.6,0.21289823949337006
7,Unet,adam,0.00018,0.4,0.00051,leaky_relu,dice_loss,0.1,0.5223804712295532
8,Unet_simple,adam,0.00013,0.1,0.06657,relu,dice_loss,0.3,15.244335174560547
9,Unet_deeper,sgd,0.00209,0.35,2e-05,leaky_relu,binary_crossentropy,0.4,0.19176678359508514
10,Unet_deep,rmsprop,0.00207,0.1,0.03746,leaky_relu,dice_loss,0.5,0.12478664517402649
11,Unet_wide,sgd,0.00036,0.1,0.00167,relu,binary_crossentropy,0.2,5.219485282897949
12,Unet_deep,rmsprop,0.00709,0.2,0.08835,relu,dice_loss,0.9,0.17010560631752014
13,Unet_deep,rmsprop,0.00675,0.2,0.04871,relu,dice_loss,0.9,0.12271465361118317
14,Unet,rmsprop,0.01414,0.25,0.01072,relu,dice_loss,0.7,0.04778826981782913
15,Unet_simple,adam,1e-05,0.3,0.00017,relu,dice_loss,0.8,0.7141309380531311
16,Unet_deeper,rmsprop,0.00016,0.2,6e-05,leaky_relu,dice_loss,0.8,0.17473065853118896
17,Unet_simple,rmsprop,3e-05,0.15,0.00063,relu,binary_crossentropy,0,1.6127135753631592
18,Unet_wide,rmsprop,5e-05,0.15,0.00032,leaky_relu,dice_loss,0.4,0.835212230682373
19,Unet_simple,adam,1e-05,0.25,0.00016,relu,binary_crossentropy,0.2,0.5154290795326233
